id,rtti_name,short_name,vtable_rva
360,PlayerVisibleRoomRemovedEvent,playervisibleroomremoved,0x2ba6838
361,PlayerWarningEvent,playerwarning,0x2ba76e0
362,PlayRandomNoiseEvent,playrandomnoise,0x2ba7bb0
363,PlaySoundEvent,playsound,0x2ba7cc8
364,POIAddedEvent,poiadded,0x2bafae8
365,POIRemovedEvent,poiremoved,0x2bafab0
366,PrimaryWeaponRangeRequestedEvent,primaryweaponrangerequested,0x2ba7088
367,ProcessAssignedRecyclableObjectEvent,processassignedrecyclableobject,0x2ba5a38
368,ProcessingModuleAvailableEvent,processingmoduleavailable,0x2ba5958
369,ProductionCancelledEvent,productioncancelled,0x2baaa10
370,ProductionFinishedEvent,productionfinished,0x2baa498
371,ProductionPausedEvent,productionpaused,0x2baaa48
372,ProductionResumedEvent,productionresumed,0x2baa460
373,ProductionStartedEvent,productionstarted,0x2baa3f0
374,PropsDespawningEvent,propsdespawning,0x2baaa80
375,PropsGeneratedEvent,propsgenerated,0x2baaab8
376,PurgeBoardingOperationEvent,purgeboardingoperation,0x2bab030
377,PurgeBuildTaskEvent,purgebuildtask,0x2bab148
378,PurgeOperationEvent,purgeoperation,0x2baaff8
379,PurgeTradeEvent,purgetrade,0x2bab180
380,RadarVisibilityChangedEvent,radarvisibilitychanged,0x2bab0a0
381,RecyclableEjectedEvent,recyclableejected,0x2ae95b0
382,RecyclableNearFurnaceEvent,recyclablenearfurnace,0x2ba5a00
383,RecyclableProcessedEvent,recyclableprocessedevent,0x2ba5a70
384,RecyclableProcessingStartedEvent,recyclableprocessingstartedevent,0x2ba5aa8
385,RegionAsteroidMinedEvent,regionasteroidmined,0x2baa380
386,RelationChangedEvent,relationchanged,0x2ba8198
387,RelationRangeChangedEvent,relationrangechanged,0x2ba8748
388,RemoveCollisionFilterEvent,removecollisionfilter,0x2ba6c28
389,RemovedFromFormationEvent,removedfromformation,0x2b48b68
390,RemoveRegionObjectsEvent,removeregionobjects,0x2baf618
391,RemoveTempComponentEvent,removetempcomponent,0x2b9e8b8
392,RepairEvent,repair,0x2ba9f20
393,RepairRequestedEvent,repairrequested,0x2ba78d8
394,ReplacePhysicsShapesEvent,replacephysicsshapes,0x2ba5b50
395,ResetDockStateEvent,resetdockstate,0x2ae9658
396,ResetZoomGogglesEvent,resetzoomgoggles,0x2b48ac0
397,ResourceAreaActivatedEvent,resourceareaactivated,0x2ba5d80
398,ResourceAreaRespawnJobFinishedEvent,resourcearearespawnjobfinished,0x2ba5cd8
399,ResourceAreaSpawnedEvent,resourceareaspawned,0x2ba5c68
400,ResourceAreaDepletedEvent,resourceareadepleted,0x2ba5c30
401,ResourceProbeLaunchedEvent,resourceprobelaunched,0x2ba8c88
402,RestoreEvent,restore,0x2baad20
403,RestoredEvent,restored,0x2ae99d8
404,ResumeEvent,resume,0x2bafb58
405,RetrievedFromInternalStorageEvent,retrievedfrominternalstorage,0x2ba9c10
406,ReturnUnitEvent,returnunit,0x2ba7788
407,SalvageClaimLostEvent,salvageclaimlost,0x2baa428
408,SatelliteLaunchedEvent,satellitelaunched,0x2ba8cf8
409,ScanAbortedEvent,scanaborted,0x2ba85f8
410,ScanFinishedEvent,scanfinished,0x2ba84e0
411,ScanStartedEvent,scanstarted,0x2ba84a8
412,ScenarioConsoleLeftEvent,scenarioconsoleleft,0x2b48af8
413,SectorAddedEvent,sectoradded,0x2ba7b40
414,SectorChangedOwnerEvent,sectorchangedowner,0x2ba91c8
415,SectorChangedTrueOwnerEvent,sectorchangedtrueowner,0x2ba9270
416,SectorRemovedEvent,sectorremoved,0x2ba8080
417,SectorResourceDepletedEvent,sectorresourcedepleted,0x2baa268
418,SensorTriggeredEvent,sensortriggered,0x2b9e880
419,SetDetectedResourceAreaOverlapFractionEvent,setdetectedresourceareaoverlapfraction,0x2ba5ca0
420,SetKnownToPlayerEvent,setknowntoplayer,0x2ba8a90
421,SetMinHullValueEvent,setminhullvalue,0x2ba6db0
422,SetStoreShipAllowedEvent,setstoreshipallowed,0x2ae9690
423,SetTerraformingPlanetTextureEvent,setterraformingplanettexture,0x2ba5df0
424,ShieldDamagedEvent,shielddamaged,0x2ba88d0
